01_briefing_open	Morning, Yuji. Let's get the car settled first, then we'll work on pace.
02_personal_best	Personal best. One forty-two point three zero zero. Good final sector.
03_gap_trend	Gap ahead is one point eight. You're taking two tenths a lap out of him.
04_fuel_tradeoff	Three laps at this pace. Five if you start saving now.
05_undercut_unknown	Not enough data yet to call the undercut.
06_other_class	Let him go. He's not in our class.
07_tyres_unknown	I don't have tyre temperatures. Tell me what the front's doing.
08_pit_instruction	Box this lap. Watch the limit line.
09_contact_dialogue	Still driving? Tell me if the steering's off-centre.
10_debrief_question	Start with the slow corners. What was the car doing on entry?
